Gene,EntrezID,Gene description,Concentration,Concentration(ng/L)
PTPRN,5798,Protein tyrosine phosphatase receptor type N,38 ng/L,38
ARHGAP15,55843,Rho GTPase activating protein 15,38 ng/L,38
PCNP,57092,PEST proteolytic signal containing nuclear protein,38 ng/L,38
HSPB11,51668,Heat shock protein family B (small) member 11,38 ng/L,38
ITGAE,3682,Integrin subunit alpha E,38 ng/L,38
NUP93,9688,Nucleoporin 93,38 ng/L,38
AGR2,10551,"Anterior gradient 2, protein disulphide isomerase family member",38 ng/L,38
AMPD1,270,Adenosine monophosphate deaminase 1,38 ng/L,38
EBNA1BP2,10969,EBNA1 binding protein 2,38 ng/L,38
AP3B1,8546,Adaptor related protein complex 3 subunit beta 1,38 ng/L,38
RTCA,8634,RNA 3'-terminal phosphate cyclase,38 ng/L,38
COPS3,8533,COP9 signalosome subunit 3,38 ng/L,38
EIF3H,8667,Eukaryotic translation initiation factor 3 subunit H,38 ng/L,38
GMPPB,29925,GDP-mannose pyrophosphorylase B,38 ng/L,38
NUDT16,131870,Nudix hydrolase 16,38 ng/L,38
ALDH6A1,4329,Aldehyde dehydrogenase 6 family member A1,37 ng/L,37
COPS5,10987,COP9 signalosome subunit 5,37 ng/L,37
ACSL3,2181,Acyl-CoA synthetase long chain family member 3,37 ng/L,37
SEC61G,23480,SEC61 translocon subunit gamma,37 ng/L,37
SAE1,10055,SUMO1 activating enzyme subunit 1,37 ng/L,37
PDGFC,56034,Platelet derived growth factor C,37 ng/L,37
LACTB2,51110,Lactamase beta 2,37 ng/L,37
YIF1B,90522,"Yip1 interacting factor homolog B, membrane trafficking protein",37 ng/L,37
NDUFV1,4723,NADH:ubiquinone oxidoreductase core subunit V1,37 ng/L,37
GNG5,2787,G protein subunit gamma 5,37 ng/L,37
ACADSB,36,Acyl-CoA dehydrogenase short/branched chain,37 ng/L,37
GET3,439,"Guided entry of tail-anchored proteins factor 3, ATPase",37 ng/L,37
ITGBL1,9358,Integrin subunit beta like 1,37 ng/L,37
ABHD16A,7920,"Abhydrolase domain containing 16A, phospholipase",37 ng/L,37
BPIFB2,80341,BPI fold containing family B member 2,36 ng/L,36
EIF3D,8664,Eukaryotic translation initiation factor 3 subunit D,36 ng/L,36
GIT1,28964,GIT ArfGAP 1,36 ng/L,36
TSNAX,7257,Translin associated factor X,36 ng/L,36
PTGR2,145482,Prostaglandin reductase 2,36 ng/L,36
SF3B4,10262,Splicing factor 3b subunit 4,36 ng/L,36
TMX3,54495,Thioredoxin related transmembrane protein 3,36 ng/L,36
TCAP,8557,Titin-cap,36 ng/L,36
PHYHD1,254295,Phytanoyl-CoA dioxygenase domain containing 1,36 ng/L,36
TMED9,54732,Transmembrane p24 trafficking protein 9,36 ng/L,36
ARAP1,116985,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1",36 ng/L,36
S100A13,6284,S100 calcium binding protein A13,36 ng/L,36
HTT,3064,Huntingtin,36 ng/L,36
GINM1,116254,Glycoprotein integral membrane 1,35 ng/L,35
IARS2,55699,"Isoleucyl-tRNA synthetase 2, mitochondrial",35 ng/L,35
SNRPA,6626,Small nuclear ribonucleoprotein polypeptide A,35 ng/L,35
PIR,8544,Pirin,35 ng/L,35
AIMP2,7965,Aminoacyl tRNA synthetase complex interacting multifunctional protein 2,35 ng/L,35
PLA2G4A,5321,Phospholipase A2 group IVA,35 ng/L,35
CRISP1,167,Cysteine rich secretory protein 1,35 ng/L,35
BBOX1,8424,Gamma-butyrobetaine hydroxylase 1,35 ng/L,35
B4GALNT1,2583,"Beta-1,4-N-acetyl-galactosaminyltransferase 1",35 ng/L,35
MMP7,4316,Matrix metallopeptidase 7,35 ng/L,35
UBA3,9039,Ubiquitin like modifier activating enzyme 3,35 ng/L,35
SEC13,6396,"SEC13 homolog, nuclear pore and COPII coat complex component",35 ng/L,35
TNFSF13,8741,TNF superfamily member 13,35 ng/L,35
AIMP1,9255,Aminoacyl tRNA synthetase complex interacting multifunctional protein 1,35 ng/L,35
GAP43,2596,Growth associated protein 43,35 ng/L,35
CTNNBIP1,56998,Catenin beta interacting protein 1,35 ng/L,35
RTN4RL1,146760,Reticulon 4 receptor like 1,35 ng/L,35
GAL3ST4,79690,Galactose-3-O-sulfotransferase 4,35 ng/L,35
NCAPD2,9918,Non-SMC condensin I complex subunit D2,34 ng/L,34
BZW1,9689,Basic leucine zipper and W2 domains 1,34 ng/L,34
SPOCK2,9806,"SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2",34 ng/L,34
HMGCL,3155,3-hydroxy-3-methylglutaryl-CoA lyase,34 ng/L,34
RPL21,6144,Ribosomal protein L21,34 ng/L,34
DKC1,1736,Dyskerin pseudouridine synthase 1,34 ng/L,34
ATP6V1E1,529,ATPase H+ transporting V1 subunit E1,34 ng/L,34
TES,26136,Testin LIM domain protein,34 ng/L,34
PLPBP,11212,Pyridoxal phosphate binding protein,34 ng/L,34
TMEM43,79188,Transmembrane protein 43,34 ng/L,34
OPLAH,26873,"5-oxoprolinase, ATP-hydrolysing",34 ng/L,34
SNRPE,6635,Small nuclear ribonucleoprotein polypeptide E,34 ng/L,34
ATP1B3,483,ATPase Na+/K+ transporting subunit beta 3,33 ng/L,33
SMC1A,8243,Structural maintenance of chromosomes 1A,33 ng/L,33
MCM6,4175,Minichromosome maintenance complex component 6,33 ng/L,33
EPB41L1,2036,Erythrocyte membrane protein band 4.1 like 1,33 ng/L,33
MYOM1,8736,Myomesin 1,33 ng/L,33
NCKAP1L,3071,NCK associated protein 1 like,33 ng/L,33
EPHA5,2044,EPH receptor A5,33 ng/L,33
ATG7,10533,Autophagy related 7,33 ng/L,33
CREB3L3,84699,CAMP responsive element binding protein 3 like 3,32 ng/L,32
COL17A1,1308,Collagen type XVII alpha 1 chain,32 ng/L,32
ALDH3A2,224,Aldehyde dehydrogenase 3 family member A2,32 ng/L,32
SRRT,51593,"Serrate, RNA effector molecule",32 ng/L,32
STRN4,29888,Striatin 4,32 ng/L,32
VPS4B,9525,Vacuolar protein sorting 4 homolog B,32 ng/L,32
SLIRP,81892,SRA stem-loop interacting RNA binding protein,32 ng/L,32
ADGRB2,576,Adhesion G protein-coupled receptor B2,32 ng/L,32
TACC2,10579,Transforming acidic coiled-coil containing protein 2,32 ng/L,32
ADGRG1,9289,Adhesion G protein-coupled receptor G1,32 ng/L,32
ABHD11,83451,Abhydrolase domain containing 11,31 ng/L,31
DUT,1854,Deoxyuridine triphosphatase,31 ng/L,31
AK3,50808,Adenylate kinase 3,31 ng/L,31
INPP1,3628,Inositol polyphosphate-1-phosphatase,31 ng/L,31
ASAP1,50807,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 1",31 ng/L,31
NBEAL2,23218,Neurobeachin like 2,31 ng/L,31
API5,8539,Apoptosis inhibitor 5,31 ng/L,31
VSTM2A,222008,V-set and transmembrane domain containing 2A,31 ng/L,31
SMARCC1,6599,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1",31 ng/L,31
PSAPL1,768239,Prosaposin like 1,31 ng/L,31
NUP62,23636,Nucleoporin 62,31 ng/L,31
RBM14,10432,RNA binding motif protein 14,31 ng/L,31
ACIN1,22985,Apoptotic chromatin condensation inducer 1,30 ng/L,30
HP1BP3,50809,Heterochromatin protein 1 binding protein 3,30 ng/L,30
NADK2,133686,"NAD kinase 2, mitochondrial",30 ng/L,30
GYG1,2992,Glycogenin 1,30 ng/L,30
PRKCD,5580,Protein kinase C delta,30 ng/L,30
LSM6,11157,"LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated",30 ng/L,30
LSM3,27258,"LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated",30 ng/L,30
ABLIM3,22885,Actin binding LIM protein family member 3,30 ng/L,30
NPLOC4,55666,"NPL4 homolog, ubiquitin recognition factor",30 ng/L,30
C6orf58,352999,Chromosome 6 open reading frame 58,30 ng/L,30
MSMP,692094,"Microseminoprotein, prostate associated",30 ng/L,30
PPP2R5D,5528,Protein phosphatase 2 regulatory subunit B'delta,29 ng/L,29
TARDBP,23435,TAR DNA binding protein,29 ng/L,29
MCEE,84693,Methylmalonyl-CoA epimerase,29 ng/L,29
PPP1R12C,54776,Protein phosphatase 1 regulatory subunit 12C,29 ng/L,29
LRRC47,57470,Leucine rich repeat containing 47,29 ng/L,29
MPRIP,23164,Myosin phosphatase Rho interacting protein,29 ng/L,29
ITM2C,81618,Integral membrane protein 2C,29 ng/L,29
STXBP1,6812,Syntaxin binding protein 1,29 ng/L,29
PADI4,23569,Peptidyl arginine deiminase 4,29 ng/L,29
DPY30,84661,Dpy-30 histone methyltransferase complex regulatory subunit,29 ng/L,29
ACOX2,8309,Acyl-CoA oxidase 2,29 ng/L,29
SEPHS2,22928,Selenophosphate synthetase 2,29 ng/L,29
ACBD3,64746,Acyl-CoA binding domain containing 3,29 ng/L,29
CRIP1,1396,Cysteine rich protein 1,29 ng/L,29
MDP1,145553,Magnesium dependent phosphatase 1,29 ng/L,29
MAP2K3,5606,Mitogen-activated protein kinase kinase 3,28 ng/L,28
AP3D1,8943,Adaptor related protein complex 3 subunit delta 1,28 ng/L,28
SNAP91,9892,Synaptosome associated protein 91,28 ng/L,28
IDI1,3422,Isopentenyl-diphosphate delta isomerase 1,28 ng/L,28
MSH2,4436,MutS homolog 2,28 ng/L,28
SH3GLB1,51100,"SH3 domain containing GRB2 like, endophilin B1",28 ng/L,28
SNU13,4809,Small nuclear ribonucleoprotein 13,28 ng/L,28
RPRD1B,58490,Regulation of nuclear pre-mRNA domain containing 1B,28 ng/L,28
NUP155,9631,Nucleoporin 155,28 ng/L,28
FARSB,10056,Phenylalanyl-tRNA synthetase subunit beta,28 ng/L,28
ITFG1,81533,Integrin alpha FG-GAP repeat containing 1,28 ng/L,28
ADRM1,11047,Adhesion regulating molecule 1,28 ng/L,28
WDR61,80349,WD repeat domain 61,28 ng/L,28
LUC7L2,51631,"LUC7 like 2, pre-mRNA splicing factor",28 ng/L,28
ADAMTS5,11096,ADAM metallopeptidase with thrombospondin type 1 motif 5,28 ng/L,28
B3GNT5,84002,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5",28 ng/L,28
SLITRK6,84189,SLIT and NTRK like family member 6,28 ng/L,28
U2AF1L5,102724594,U2 small nuclear RNA auxiliary factor 1 like 5,28 ng/L,28
SUPT16H,11198,"SPT16 homolog, facilitates chromatin remodeling subunit",27 ng/L,27
TMEM59,9528,Transmembrane protein 59,27 ng/L,27
HAT1,8520,Histone acetyltransferase 1,27 ng/L,27
PALLD,23022,"Palladin, cytoskeletal associated protein",27 ng/L,27
IGF2BP3,10643,Insulin like growth factor 2 mRNA binding protein 3,27 ng/L,27
MGST3,4259,Microsomal glutathione S-transferase 3,27 ng/L,27
SCRN3,79634,Secernin 3,27 ng/L,27
GPC3,2719,Glypican 3,27 ng/L,27
DSPP,1834,Dentin sialophosphoprotein,27 ng/L,27
GALNT14,79623,Polypeptide N-acetylgalactosaminyltransferase 14,27 ng/L,27
PYM1,84305,"PYM homolog 1, exon junction complex associated factor",27 ng/L,27
MYADM,91663,Myeloid associated differentiation marker,27 ng/L,27
GAS1,2619,Growth arrest specific 1,27 ng/L,27
CA13,377677,Carbonic anhydrase 13,27 ng/L,27
S100A2,6273,S100 calcium binding protein A2,27 ng/L,27
ATAD3A,55210,ATPase family AAA domain containing 3A,27 ng/L,27
TOMM34,10953,Translocase of outer mitochondrial membrane 34,26 ng/L,26
CST7,8530,Cystatin F,26 ng/L,26
CD200,4345,CD200 molecule,26 ng/L,26
ACOT7,11332,Acyl-CoA thioesterase 7,26 ng/L,26
HNRNPUL1,11100,Heterogeneous nuclear ribonucleoprotein U like 1,26 ng/L,26
CDK6,1021,Cyclin dependent kinase 6,26 ng/L,26
PSMD14,10213,"Proteasome 26S subunit, non-ATPase 14",26 ng/L,26
SRM,6723,Spermidine synthase,26 ng/L,26
ATP6V1F,9296,ATPase H+ transporting V1 subunit F,26 ng/L,26
SMC2,10592,Structural maintenance of chromosomes 2,26 ng/L,26
TMX1,81542,Thioredoxin related transmembrane protein 1,26 ng/L,26
NOL3,8996,Nucleolar protein 3,26 ng/L,26
MINK1,50488,Misshapen like kinase 1,26 ng/L,26
PBXIP1,57326,PBX homeobox interacting protein 1,26 ng/L,26
PPM1L,151742,"Protein phosphatase, Mg2+/Mn2+ dependent 1L",26 ng/L,26
LRRC57,255252,Leucine rich repeat containing 57,26 ng/L,26
PTTG1IP,754,PTTG1 interacting protein,26 ng/L,26
BAG6,7917,BAG cochaperone 6,26 ng/L,26
RECQL,5965,RecQ like helicase,25 ng/L,25
BCAT2,587,Branched chain amino acid transaminase 2,25 ng/L,25
SLC25A11,8402,Solute carrier family 25 member 11,25 ng/L,25
SMC4,10051,Structural maintenance of chromosomes 4,25 ng/L,25
NEU2,4759,Neuraminidase 2,25 ng/L,25
NDUFA8,4702,NADH:ubiquinone oxidoreductase subunit A8,25 ng/L,25
SMU1,55234,SMU1 DNA replication regulator and spliceosomal factor,25 ng/L,25
MACF1,23499,Microtubule actin crosslinking factor 1,25 ng/L,25
NCBP1,4686,Nuclear cap binding protein subunit 1,25 ng/L,25
PPCDC,60490,Phosphopantothenoylcysteine decarboxylase,25 ng/L,25
GLTP,51228,Glycolipid transfer protein,25 ng/L,25
EML4,27436,EMAP like 4,25 ng/L,25
NDUFS2,4720,NADH:ubiquinone oxidoreductase core subunit S2,25 ng/L,25
PTK2,5747,Protein tyrosine kinase 2,25 ng/L,25
LINGO1,84894,Leucine rich repeat and Ig domain containing 1,25 ng/L,25
SNTB1,6641,Syntrophin beta 1,25 ng/L,25
RUFY1,80230,RUN and FYVE domain containing 1,25 ng/L,25
MUC16,94025,"Mucin 16, cell surface associated",25 ng/L,25
HDAC2,3066,Histone deacetylase 2,25 ng/L,25
CTSO,1519,Cathepsin O,25 ng/L,25
ST8SIA5,29906,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5",24 ng/L,24
ZC3HAV1,56829,"Zinc finger CCCH-type containing, antiviral 1",24 ng/L,24
UXS1,80146,UDP-glucuronate decarboxylase 1,24 ng/L,24
ESYT2,57488,Extended synaptotagmin 2,24 ng/L,24
USP9X,8239,Ubiquitin specific peptidase 9 X-linked,24 ng/L,24
TRIP10,9322,Thyroid hormone receptor interactor 10,24 ng/L,24
NUP205,23165,Nucleoporin 205,24 ng/L,24
GALK2,2585,Galactokinase 2,24 ng/L,24
TMED4,222068,Transmembrane p24 trafficking protein 4,24 ng/L,24
PRPSAP1,5635,Phosphoribosyl pyrophosphate synthetase associated protein 1,24 ng/L,24
PSIP1,11168,PC4 and SFRS1 interacting protein 1,24 ng/L,24
BDNF,627,Brain derived neurotrophic factor,24 ng/L,24
HS6ST3,266722,Heparan sulfate 6-O-sulfotransferase 3,24 ng/L,24
TOR3A,64222,Torsin family 3 member A,24 ng/L,24
DDRGK1,65992,DDRGK domain containing 1,24 ng/L,24
SPINK9,643394,Serine peptidase inhibitor Kazal type 9,24 ng/L,24
ADAM11,4185,ADAM metallopeptidase domain 11,23 ng/L,23
SRSF5,6430,Serine and arginine rich splicing factor 5,23 ng/L,23
YKT6,10652,YKT6 v-SNARE homolog,23 ng/L,23
GRPEL1,80273,"GrpE like 1, mitochondrial",23 ng/L,23
GOLPH3,64083,Golgi phosphoprotein 3,23 ng/L,23
IGSF21,84966,Immunoglobin superfamily member 21,23 ng/L,23
NRN1,51299,Neuritin 1,23 ng/L,23
DNAJB1,3337,DnaJ heat shock protein family (Hsp40) member B1,23 ng/L,23
ENAM,10117,Enamelin,23 ng/L,23
STT3A,3703,STT3 oligosaccharyltransferase complex catalytic subunit A,23 ng/L,23
TBRG4,9238,Transforming growth factor beta regulator 4,23 ng/L,23
DYNC1LI1,51143,Dynein cytoplasmic 1 light intermediate chain 1,23 ng/L,23
MINDY3,80013,MINDY lysine 48 deubiquitinase 3,23 ng/L,23
UBASH3B,84959,Ubiquitin associated and SH3 domain containing B,23 ng/L,23
SFXN1,94081,Sideroflexin 1,23 ng/L,23
MARS1,4141,Methionyl-tRNA synthetase 1,23 ng/L,23
SRP68,6730,Signal recognition particle 68,23 ng/L,23
HTRA4,203100,HtrA serine peptidase 4,23 ng/L,23
SNCG,6623,Synuclein gamma,23 ng/L,23
SRP72,6731,Signal recognition particle 72,23 ng/L,23
CHMP5,51510,Charged multivesicular body protein 5,22 ng/L,22
CBX5,23468,Chromobox 5,22 ng/L,22
CDC5L,988,Cell division cycle 5 like,22 ng/L,22
LANCL1,10314,LanC like 1,22 ng/L,22
EPCAM,4072,Epithelial cell adhesion molecule,22 ng/L,22
XG,7499,Xg glycoprotein (Xg blood group),22 ng/L,22
A4GALT,53947,"Alpha 1,4-galactosyltransferase (P blood group)",22 ng/L,22
SRP9,6726,Signal recognition particle 9,22 ng/L,22
PCDH15,65217,Protocadherin related 15,22 ng/L,22
SCOC,60592,Short coiled-coil protein,22 ng/L,22
TBCEL,219899,Tubulin folding cofactor E like,22 ng/L,22
DUSP23,54935,Dual specificity phosphatase 23,22 ng/L,22
PLIN1,5346,Perilipin 1,22 ng/L,22
DNAJC7,7266,DnaJ heat shock protein family (Hsp40) member C7,22 ng/L,22
KYAT1,883,Kynurenine aminotransferase 1,22 ng/L,22
LSM1,27257,"LSM1 homolog, mRNA degradation associated",22 ng/L,22
DRG1,4733,Developmentally regulated GTP binding protein 1,22 ng/L,22
SLC25A13,10165,Solute carrier family 25 member 13,21 ng/L,21
CIAPIN1,57019,Cytokine induced apoptosis inhibitor 1,21 ng/L,21
BCLAF1,9774,BCL2 associated transcription factor 1,21 ng/L,21
SEPHS1,22929,Selenophosphate synthetase 1,21 ng/L,21
TRIP6,7205,Thyroid hormone receptor interactor 6,21 ng/L,21
SLC9A1,6548,Solute carrier family 9 member A1,21 ng/L,21
EIF3E,3646,Eukaryotic translation initiation factor 3 subunit E,21 ng/L,21
NUDT1,4521,Nudix hydrolase 1,21 ng/L,21
OCIAD1,54940,OCIA domain containing 1,21 ng/L,21
OAS3,4940,2'-5'-oligoadenylate synthetase 3,21 ng/L,21
PAIP2,51247,Poly(A) binding protein interacting protein 2,21 ng/L,21
NPY,4852,Neuropeptide Y,21 ng/L,21
BMP2,650,Bone morphogenetic protein 2,21 ng/L,21
RAP1GAP2,23108,RAP1 GTPase activating protein 2,21 ng/L,21
SWAP70,23075,Switching B cell complex subunit SWAP70,21 ng/L,21
MYBPC3,4607,Myosin binding protein C3,21 ng/L,21
DYNC1LI2,1783,Dynein cytoplasmic 1 light intermediate chain 2,21 ng/L,21
PPIL1,51645,Peptidylprolyl isomerase like 1,21 ng/L,21
PMM2,5373,Phosphomannomutase 2,21 ng/L,21
ARHGAP17,55114,Rho GTPase activating protein 17,21 ng/L,21
CEP170,9859,Centrosomal protein 170,21 ng/L,21
PARD3,56288,Par-3 family cell polarity regulator,21 ng/L,21
GLYAT,10249,Glycine-N-acyltransferase,21 ng/L,21
PLOD2,5352,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",21 ng/L,21
C1GALT1C1,29071,C1GALT1 specific chaperone 1,21 ng/L,21
DDX23,9416,DEAD-box helicase 23,21 ng/L,21
UBE2H,7328,Ubiquitin conjugating enzyme E2 H,21 ng/L,21
NCR3LG1,374383,Natural killer cell cytotoxicity receptor 3 ligand 1,21 ng/L,21
PCDHGA12,26025,"Protocadherin gamma subfamily A, 12",21 ng/L,21
OGFR,11054,Opioid growth factor receptor,20 ng/L,20
COASY,80347,Coenzyme A synthase,20 ng/L,20
EEA1,8411,Early endosome antigen 1,20 ng/L,20
CD40LG,959,CD40 ligand,20 ng/L,20
SRRM1,10250,Serine and arginine repetitive matrix 1,20 ng/L,20
TOR1A,1861,Torsin family 1 member A,20 ng/L,20
MYG1,60314,MYG1 exonuclease,20 ng/L,20
SNAPIN,23557,SNAP associated protein,20 ng/L,20
HPGD,3248,15-hydroxyprostaglandin dehydrogenase,20 ng/L,20
UCMA,221044,Upper zone of growth plate and cartilage matrix associated,20 ng/L,20
CHST14,113189,Carbohydrate sulfotransferase 14,20 ng/L,20
FAM98B,283742,Family with sequence similarity 98 member B,20 ng/L,20
LAMB3,3914,Laminin subunit beta 3,20 ng/L,20
TAPBP,6892,TAP binding protein,20 ng/L,20
UPF1,5976,UPF1 RNA helicase and ATPase,19 ng/L,19
AASS,10157,Aminoadipate-semialdehyde synthase,19 ng/L,19
MGST1,4257,Microsomal glutathione S-transferase 1,19 ng/L,19
IDH3G,3421,Isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit gamma,19 ng/L,19
PFN2,5217,Profilin 2,19 ng/L,19
SMARCA2,6595,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2",19 ng/L,19
SLC25A24,29957,Solute carrier family 25 member 24,19 ng/L,19
ATP6V1D,51382,ATPase H+ transporting V1 subunit D,19 ng/L,19
PPP6R1,22870,Protein phosphatase 6 regulatory subunit 1,19 ng/L,19
PMPCB,9512,"Peptidase, mitochondrial processing subunit beta",19 ng/L,19
HSD17B1,3292,Hydroxysteroid 17-beta dehydrogenase 1,19 ng/L,19
DDX6,1656,DEAD-box helicase 6,19 ng/L,19
FAM162A,26355,Family with sequence similarity 162 member A,19 ng/L,19
PPM1G,5496,"Protein phosphatase, Mg2+/Mn2+ dependent 1G",19 ng/L,19
RBM39,9584,RNA binding motif protein 39,19 ng/L,19
HSPBP1,23640,HSPA (Hsp70) binding protein 1,19 ng/L,19
ENTPD1,953,Ectonucleoside triphosphate diphosphohydrolase 1,19 ng/L,19
CARM1,10498,Coactivator associated arginine methyltransferase 1,19 ng/L,19
BANK1,55024,B cell scaffold protein with ankyrin repeats 1,19 ng/L,19
CCAR2,57805,Cell cycle and apoptosis regulator 2,19 ng/L,19
MGAT4B,11282,"Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B",19 ng/L,19
CDH4,1002,Cadherin 4,19 ng/L,19
SRPRA,6734,SRP receptor subunit alpha,19 ng/L,19
TRIM16,10626,Tripartite motif containing 16,19 ng/L,19
CBFB,865,Core-binding factor subunit beta,18 ng/L,18
TCOF1,6949,Treacle ribosome biogenesis factor 1,18 ng/L,18
ADD2,119,Adducin 2,18 ng/L,18
WDR77,79084,WD repeat domain 77,18 ng/L,18
UCHL5,51377,Ubiquitin C-terminal hydrolase L5,18 ng/L,18
P3H1,64175,Prolyl 3-hydroxylase 1,18 ng/L,18
TNFSF10,8743,TNF superfamily member 10,18 ng/L,18
STAMBP,10617,STAM binding protein,18 ng/L,18
EEF1E1,9521,Eukaryotic translation elongation factor 1 epsilon 1,18 ng/L,18
PCSK2,5126,Proprotein convertase subtilisin/kexin type 2,18 ng/L,18
ACTL6A,86,Actin like 6A,18 ng/L,18
SLC47A1,55244,Solute carrier family 47 member 1,18 ng/L,18
CDKN2A,1029,Cyclin dependent kinase inhibitor 2A,18 ng/L,18
CXADR,1525,CXADR Ig-like cell adhesion molecule,18 ng/L,18
CUL4B,8450,Cullin 4B,18 ng/L,18
UQCRQ,27089,Ubiquinol-cytochrome c reductase complex III subunit VII,18 ng/L,18
PSCA,8000,Prostate stem cell antigen,18 ng/L,18
RILP,83547,Rab interacting lysosomal protein,18 ng/L,18
NUDCD2,134492,NudC domain containing 2,18 ng/L,18
RSL1D1,26156,Ribosomal L1 domain containing 1,18 ng/L,18
BAIAP2,10458,BAR/IMD domain containing adaptor protein 2,18 ng/L,18
METTL7A,25840,Methyltransferase like 7A,18 ng/L,18
TRABD2A,129293,TraB domain containing 2A,18 ng/L,18
LSM14A,26065,LSM14A mRNA processing body assembly factor,18 ng/L,18
RANBP3,8498,RAN binding protein 3,17 ng/L,17
SZRD1,26099,SUZ RNA binding domain containing 1,17 ng/L,17
ANKS1A,23294,Ankyrin repeat and sterile alpha motif domain containing 1A,17 ng/L,17
CLNS1A,1207,Chloride nucleotide-sensitive channel 1A,17 ng/L,17
DDX18,8886,DEAD-box helicase 18,17 ng/L,17
ISM1,140862,Isthmin 1,17 ng/L,17
IMPDH1,3614,Inosine monophosphate dehydrogenase 1,17 ng/L,17
RPA3,6119,Replication protein A3,17 ng/L,17
TTC1,7265,Tetratricopeptide repeat domain 1,17 ng/L,17
TCERG1,10915,Transcription elongation regulator 1,17 ng/L,17
FRMD4B,23150,FERM domain containing 4B,17 ng/L,17
GNLY,10578,Granulysin,17 ng/L,17
PPCS,79717,Phosphopantothenoylcysteine synthetase,17 ng/L,17
ADAM19,8728,ADAM metallopeptidase domain 19,17 ng/L,17
UNC45A,55898,Unc-45 myosin chaperone A,17 ng/L,17
EPS8,2059,Epidermal growth factor receptor pathway substrate 8,17 ng/L,17
MCU,90550,Mitochondrial calcium uniporter,17 ng/L,17
NCK1,4690,NCK adaptor protein 1,17 ng/L,17
STT3B,201595,STT3 oligosaccharyltransferase complex catalytic subunit B,17 ng/L,17
SUGT1,10910,"SGT1 homolog, MIS12 kinetochore complex assembly cochaperone",17 ng/L,17
